ITERATION, [OBJ_FUNC]STIFFNESSENERGY_OBJ_FUNC, [OBJ]OBJ_FUNC_DRESP:STIFFNESS_MEASURE, [OBJ]OBJ_FUNC_TERM:STIFFNESS_MEASURE, [CON]MASS_CONSTRAINT_1:LE:MASS_DRESP_1, [VAR]STIFFNESS_MEASURE, [VAR]MASS_DRESP_1, [VAR]AV_CONV_ALL_ELEMENTS, [VAR]AV_CHG_OBJF_ALL_ELEMENTS, [VAR]AV_CHG_DV_ALL_ELEMENTS, [VAR]AV_CONV_TRUE_ALL_ELEMENTS
Norm-Values:, 4.2507979e-3, 4.2507979e-3, 4.2507979e-3, 3.2719519e-2, 4.2507979e-3, 1.0906506e-1, 0.0000000, 1.0000000e-3, 4.9999999e-3, 9.9000001e-1
0, 4.2507979e-3, 4.2507979e-3, 4.2507979e-3, 3.2719601e-2, 4.2507979e-3, 3.2719601e-2, 0.0000000, 0.0000000, 0.0000000, 9.9000001e-1
1, 3.1693517e-3, 3.1693517e-3, 3.1693517e-3, 3.1653352e-2, 3.1693517e-3, 3.1653352e-2, 0.0000000, 3.4121999e-1, 4.1548319e-2, 9.9000001e-1
2, 2.2933641e-3, 2.2933641e-3, 2.2933641e-3, 3.2043230e-2, 2.2933641e-3, 3.2043230e-2, 0.0000000, 3.8196620e-1, 3.1418018e-2, 9.9000001e-1
3, 1.7975150e-3, 1.7975150e-3, 1.7975150e-3, 3.2201659e-2, 1.7975150e-3, 3.2201659e-2, 0.0000000, 2.7585259e-1, 2.8457267e-2, 9.9000001e-1
4, 1.5085321e-3, 1.5085321e-3, 1.5085321e-3, 3.2216195e-2, 1.5085321e-3, 3.2216195e-2, 0.0000000, 1.9156562e-1, 2.7374877e-2, 9.9000001e-1
5, 1.3184618e-3, 1.3184618e-3, 1.3184618e-3, 3.2175329e-2, 1.3184618e-3, 3.2175329e-2, 0.0000000, 1.4416060e-1, 2.7227486e-2, 9.9000001e-1
6, 1.1882830e-3, 1.1882830e-3, 1.1882830e-3, 3.2063007e-2, 1.1882830e-3, 3.2063007e-2, 0.0000000, 1.0955208e-1, 2.7882481e-2, 9.9000001e-1
7, 1.1374045e-3, 1.1374045e-3, 1.1374045e-3, 3.1773824e-2, 1.1374045e-3, 3.1773824e-2, 0.0000000, 4.4732109e-2, 3.0642256e-2, 9.9000001e-1
8, 1.0412498e-3, 1.0412498e-3, 1.0412498e-3, 3.1609356e-2, 1.0412498e-3, 3.1609356e-2, 0.0000000, 9.2345402e-2, 3.2577951e-2, 9.9000001e-1
